City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,codrington,-38.2667,141.9667,16.52,79,100,7.84,AU,1702249771
350,la huacana,18.9667,-101.8167,27.98,51,100,1.22,MX,1702249771
351,luganville,-15.5333,167.1667,26.51,70,100,5.3,VU,1702249771
352,island harbour,50.724,-1.2758,12.74,84,3,5.81,GB,1702249772
353,marsh harbour,26.5412,-77.0636,24.72,83,48,9.37,BS,1702249772
354,gadzhiyevo,69.2551,33.3362,-13.02,88,94,7.39,RU,1702249772
355,ulsteinvik,62.3432,5.8487,3.07,87,42,2.24,NO,1702249772
356,makubetsu,45.3714,141.8211,-6.77,72,100,7.15,JP,1702249772
357,la libertad,-2.2333,-80.9,25.81,83,40,5.14,EC,1702249772
358,mil'kovo,55.6078,37.7956,-8.7,94,100,4.82,RU,1702249773
359,phan rang-thap cham,11.5667,108.9833,21.4,90,52,2.66,VN,1702249773
360,colonia,50.9333,6.95,11.7,78,75,8.23,DE,1702249773
361,malanje,-9.5402,16.341,17.9,98,100,1.55,AO,1702249773
